SystemId|Customer Name|Customer Number|Account System Id|Account Number|Customer Type|Trust Name|PAN|AddressType|Address 1|Address 2|Address 3|Address 4|Email Id|Segment|Industry|Business Unit|Customer Zone|Customer State|Customer Location|Father Name|Pendency Reason|Pendency Remarks|NPA Type|Date Of NPA|AdhaarNo|Customer Demise
1|SHREYA|SH01|1|ACC01|Individual|XYZ||commercial|MUMBAI|DELHI|PUNE|KOCHI|SNEHAL.GAIKWAD@CUBICTREE.COM|NA|NA|CTQA|WEST|MAHARASHTRA|KHED|RAM|||||123435478677|Yes
1|SHREYA|SH01|1|ACC01|Individual|XYZ||Other|MUMBAI||||SNEHAL.GAIKWAD@CUBICTREE.COM|NA|NA|CTQA|WEST|MAHARASHTRA|KHED|RAM|||||123435478677|Yes
1|SHREYA|SH01|4|ACCB01|Individual|XYZ||commercial|MUMBAI|DELHI|PUNE|KOCHI|SNEHAL.GAIKWAD@CUBICTREE.COM|NA|NA|CTQA|WEST|MAHARASHTRA|KHED|RAM|||||123435478677|Yes
1|SHREYA|SH01|4|ACCB01|Individual|XYZ||Other|MUMBAI||||SNEHAL.GAIKWAD@CUBICTREE.COM|NA|NA|CTQA|WEST|MAHARASHTRA|KHED|RAM|||||123435478677|Yes
1|SHREYA|SH01|5|ACC1657|Individual|XYZ||commercial|MUMBAI|DELHI|PUNE|KOCHI|SNEHAL.GAIKWAD@CUBICTREE.COM|NA|NA|CTQA|WEST|MAHARASHTRA|KHED|RAM|||||123435478677|Yes
1|SHREYA|SH01|5|ACC1657|Individual|XYZ||Other|MUMBAI||||SNEHAL.GAIKWAD@CUBICTREE.COM|NA|NA|CTQA|WEST|MAHARASHTRA|KHED|RAM|||||123435478677|Yes
1|SHREYA|SH01|110|ACC11|Individual|XYZ||commercial|MUMBAI|DELHI|PUNE|KOCHI|SNEHAL.GAIKWAD@CUBICTREE.COM|NA|NA|CTQA|WEST|MAHARASHTRA|KHED|RAM|||||123435478677|Yes
1|SHREYA|SH01|110|ACC11|Individual|XYZ||Other|MUMBAI||||SNEHAL.GAIKWAD@CUBICTREE.COM|NA|NA|CTQA|WEST|MAHARASHTRA|KHED|RAM|||||123435478677|Yes
1|SHREYA|SH01|111|ACC12|Individual|XYZ||commercial|MUMBAI|DELHI|PUNE|KOCHI|SNEHAL.GAIKWAD@CUBICTREE.COM|NA|NA|CTQA|WEST|MAHARASHTRA|KHED|RAM|||||123435478677|Yes
1|SHREYA|SH01|111|ACC12|Individual|XYZ||Other|MUMBAI||||SNEHAL.GAIKWAD@CUBICTREE.COM|NA|NA|CTQA|WEST|MAHARASHTRA|KHED|RAM|||||123435478677|Yes
1|SHREYA|SH01|115|ACC121|Individual|XYZ||commercial|MUMBAI|DELHI|PUNE|KOCHI|SNEHAL.GAIKWAD@CUBICTREE.COM|NA|NA|CTQA|WEST|MAHARASHTRA|KHED|RAM|||||123435478677|Yes
1|SHREYA|SH01|115|ACC121|Individual|XYZ||Other|MUMBAI||||SNEHAL.GAIKWAD@CUBICTREE.COM|NA|NA|CTQA|WEST|MAHARASHTRA|KHED|RAM|||||123435478677|Yes
1|SHREYA|SH01|123|ACC12S|Individual|XYZ||commercial|MUMBAI|DELHI|PUNE|KOCHI|SNEHAL.GAIKWAD@CUBICTREE.COM|NA|NA|CTQA|WEST|MAHARASHTRA|KHED|RAM|||||123435478677|Yes
1|SHREYA|SH01|123|ACC12S|Individual|XYZ||Other|MUMBAI||||SNEHAL.GAIKWAD@CUBICTREE.COM|NA|NA|CTQA|WEST|MAHARASHTRA|KHED|RAM|||||123435478677|Yes
2|BHARAT JOSHI|20203030|2|LAN3031|companies|||||||||||CTQA|WEST|GUJARAT|AHMEDABAD|ANIL||||||No
2|BHARAT JOSHI|20203030|49|35435|companies|||||||||||CTQA|WEST|GUJARAT|AHMEDABAD|ANIL||||||No
2|BHARAT JOSHI|20203030|51|34343434|companies|||||||||||CTQA|WEST|GUJARAT|AHMEDABAD|ANIL||||||No
2|BHARAT JOSHI|20203030|52|3232|companies|||||||||||CTQA|WEST|GUJARAT|AHMEDABAD|ANIL||||||No
2|BHARAT JOSHI|20203030|61|133113|companies|||||||||||CTQA|WEST|GUJARAT|AHMEDABAD|ANIL||||||No
2|BHARAT JOSHI|20203030|140|LAN501|companies|||||||||||CTQA|WEST|GUJARAT|AHMEDABAD|ANIL||||||No
2|BHARAT JOSHI|20203030|142|LAN502|companies|||||||||||CTQA|WEST|GUJARAT|AHMEDABAD|ANIL||||||No
2|BHARAT JOSHI|20203030|143|LAN510|companies|||||||||||CTQA|WEST|GUJARAT|AHMEDABAD|ANIL||||||No
2|BHARAT JOSHI|20203030|144|LAN510|companies|||||||||||CTQA|WEST|GUJARAT|AHMEDABAD|ANIL||||||No
2|BHARAT JOSHI|20203030|145|LAN510|companies|||||||||||CTQA|WEST|GUJARAT|AHMEDABAD|ANIL||||||No
2|BHARAT JOSHI|20203030|146|LAN510|companies|||||||||||CTQA|WEST|GUJARAT|AHMEDABAD|ANIL||||||No
2|BHARAT JOSHI|20203030|147|LAN600|companies|||||||||||CTQA|WEST|GUJARAT|AHMEDABAD|ANIL||||||No
2|BHARAT JOSHI|20203030|148|LAN600|companies|||||||||||CTQA|WEST|GUJARAT|AHMEDABAD|ANIL||||||No
2|BHARAT JOSHI|20203030|149|LAN600|companies|||||||||||CTQA|WEST|GUJARAT|AHMEDABAD|ANIL||||||No
