SystemId|Customer Name|Customer Number|Account System Id|Account Number|Dealing Officer 1 Email ID|Customer Location|Business Unit|Asset System Id|Customer Type|Trust Name|PAN|AddressType|Address 1|Address 2|Address 3|Address 4|Email Id|Segment|Industry|Customer Zone|Customer State|Father Name|Pendency Reason|Pendency Remarks|NPA Type|Date Of NPA|AdhaarNo|Customer Demise|Possession Date|Publication Name|Expense|Asset(Possession)|Edition|Document Name|Document Title|Description (13/4)|Publication Date (13/2)|Publication Name (13/2)|Expense (13/2)|Asset (13/2)|Edition (13/2)|Document Name (13/2)|Document Title (13/2)|Description (13/2)|Valuer|Date of Aproval|Valuation Date|Market Value|Distress Sale Value|Reserve Price|Valuation Asset|Valuation Method|Realizable Value|Approver By|Auction Date|Auction Ref No|Accepted Bid Amount|Sale Status|Purchaser|Auction Market Value|Auctioning Agency|Auction Asset|Auction Type|Auction Location|Reserve Value|EMD %|EMD Amount|Date Of Issuance Of Sale Certificate|EMD Date|Final Payment Date|Authorised Officer Name
1|SHREYA|SH01|1|ACC01|Akash D: Akash@cubictree.com|KHED|CTQA|42|Individual|XYZ||commercial|MUMBAI|DELHI|PUNE|KOCHI|SNEHAL.GAIKWAD@CUBICTREE.COM|NA|NA|WEST|MAHARASHTRA|RAM|||||123435478677|Yes|||||||||||||||||||||||||||||||||||||||||||
1|SHREYA|SH01|1|ACC01|Akash D: Akash@cubictree.com|KHED|CTQA|42|Individual|XYZ||Other|MUMBAI||||SNEHAL.GAIKWAD@CUBICTREE.COM|NA|NA|WEST|MAHARASHTRA|RAM|||||123435478677|Yes|||||||||||||||||||||||||||||||||||||||||||
1|SHREYA|SH01|1|ACC01|Akash D: Akash@cubictree.com|KHED|CTQA|47|Individual|XYZ||commercial|MUMBAI|DELHI|PUNE|KOCHI|SNEHAL.GAIKWAD@CUBICTREE.COM|NA|NA|WEST|MAHARASHTRA|RAM|||||123435478677|Yes|||||||||||||||||||||||||||||||||||||||||||Amit
1|SHREYA|SH01|1|ACC01|Akash D: Akash@cubictree.com|KHED|CTQA|47|Individual|XYZ||Other|MUMBAI||||SNEHAL.GAIKWAD@CUBICTREE.COM|NA|NA|WEST|MAHARASHTRA|RAM|||||123435478677|Yes|||||||||||||||||||||||||||||||||||||||||||Amit
1|SHREYA|SH01|4|ACCB01|Akash D: Akash@cubictree.com|KHED|CTQA|119|Individual|XYZ||commercial|MUMBAI|DELHI|PUNE|KOCHI|SNEHAL.GAIKWAD@CUBICTREE.COM|NA|NA|WEST|MAHARASHTRA|RAM|||||123435478677|Yes|||||||||||||||||||||||||||||||||||||||||||
1|SHREYA|SH01|4|ACCB01|Akash D: Akash@cubictree.com|KHED|CTQA|119|Individual|XYZ||Other|MUMBAI||||SNEHAL.GAIKWAD@CUBICTREE.COM|NA|NA|WEST|MAHARASHTRA|RAM|||||123435478677|Yes|||||||||||||||||||||||||||||||||||||||||||
1|SHREYA|SH01|4|ACCB01|Akash D: Akash@cubictree.com|KHED|CTQA|120|Individual|XYZ||commercial|MUMBAI|DELHI|PUNE|KOCHI|SNEHAL.GAIKWAD@CUBICTREE.COM|NA|NA|WEST|MAHARASHTRA|RAM|||||123435478677|Yes|||||||||||||||||||||||||||||||||||||||||||
1|SHREYA|SH01|4|ACCB01|Akash D: Akash@cubictree.com|KHED|CTQA|120|Individual|XYZ||Other|MUMBAI||||SNEHAL.GAIKWAD@CUBICTREE.COM|NA|NA|WEST|MAHARASHTRA|RAM|||||123435478677|Yes|||||||||||||||||||||||||||||||||||||||||||
1|SHREYA|SH01|4|ACCB01|Akash D: Akash@cubictree.com|KHED|CTQA|121|Individual|XYZ||commercial|MUMBAI|DELHI|PUNE|KOCHI|SNEHAL.GAIKWAD@CUBICTREE.COM|NA|NA|WEST|MAHARASHTRA|RAM|||||123435478677|Yes|||||||||||||||||||||||||||||||||||||||||||
1|SHREYA|SH01|4|ACCB01|Akash D: Akash@cubictree.com|KHED|CTQA|121|Individual|XYZ||Other|MUMBAI||||SNEHAL.GAIKWAD@CUBICTREE.COM|NA|NA|WEST|MAHARASHTRA|RAM|||||123435478677|Yes|||||||||||||||||||||||||||||||||||||||||||
