SystemId|Customer Name|Customer Number|Account System Id|Account Number|Dealing Officer 1 Email ID|Customer Location|Business Unit|Asset System Id|Possession Date|Publication Name|Expense|Asset(Possession)|Edition|Document Name|Document Title|Description (13/4)|Publication Date (13/2)|Publication Name (13/2)|Expense (13/2)|Asset (13/2)|Edition (13/2)|Document Name (13/2)|Document Title (13/2)|Description (13/2)|Valuer|Date of Aproval|Valuation Date|Market Value|Distress Sale Value|Reserve Price|Valuation Asset|Valuation Method|Realizable Value|Approver By|Auction Date|Auction Ref No|Accepted Bid Amount|Sale Status|Purchaser|Auction Market Value|Auctioning Agency|Auction Asset|Auction Type|Auction Location|Reserve Value|EMD %|EMD Amount|Date Of Issuance Of Sale Certificate|EMD Date|Final Payment Date|Authorised Officer Name
1|SHREYA|SH01|1|ACC01|Akash D: Akash@cubictree.com|KHED|CTQA|42|||||||||||||||||||||||||||||||||||||||||||
1|SHREYA|SH01|1|ACC01|Akash D: Akash@cubictree.com|KHED|CTQA|47|||||||||||||||||||||||||||||||||||||||||||Amit
1|SHREYA|SH01|4|ACCB01|Akash D: Akash@cubictree.com|KHED|CTQA|119|||||||||||||||||||||||||||||||||||||||||||
1|SHREYA|SH01|4|ACCB01|Akash D: Akash@cubictree.com|KHED|CTQA|120|||||||||||||||||||||||||||||||||||||||||||
1|SHREYA|SH01|4|ACCB01|Akash D: Akash@cubictree.com|KHED|CTQA|121|||||||||||||||||||||||||||||||||||||||||||
1|SHREYA|SH01|5|ACC1657|Akash D: Akash@cubictree.com|KHED|CTQA|6|||||||||||||||||||||||||||||||||||||||||||
2|BHARAT JOSHI|20203030|2|LAN3031|Snehal Gaikwad: snehal.gaikwad@cubictree.com|AHMEDABAD|CTQA|1|||||||||08-Mar-2023|publication|0|Asset-LAN3031-1|||||||||||||||||||||||||||||||
2|BHARAT JOSHI|20203030|2|LAN3031|Snehal Gaikwad: snehal.gaikwad@cubictree.com|AHMEDABAD|CTQA|1|||||||||08-Mar-2023|publication23|0|Asset-LAN3031-1|||||||||||||||||||||||||||||||
2|BHARAT JOSHI|20203030|2|LAN3031|Snehal Gaikwad: snehal.gaikwad@cubictree.com|AHMEDABAD|CTQA|1|08-Mar-2023|publication|0|Asset-LAN3031-1|||||||||||||||||||||||||||||||||||||||
2|BHARAT JOSHI|20203030|2|LAN3031|Snehal Gaikwad: snehal.gaikwad@cubictree.com|AHMEDABAD|CTQA|1|08-Mar-2023|publication23|0|Asset-LAN3031-1|||||||||||||||||||||||||||||||||||||||
2|BHARAT JOSHI|20203030|2|LAN3031|Snehal Gaikwad: snehal.gaikwad@cubictree.com|AHMEDABAD|CTQA|36|||||||||08-Mar-2023|publication|0|Asset-LAN3031-1|||||||||||||||||||||||||||||||
2|BHARAT JOSHI|20203030|2|LAN3031|Snehal Gaikwad: snehal.gaikwad@cubictree.com|AHMEDABAD|CTQA|36|||||||||08-Mar-2023|publication23|0|Asset-LAN3031-1|||||||||||||||||||||||||||||||
2|BHARAT JOSHI|20203030|2|LAN3031|Snehal Gaikwad: snehal.gaikwad@cubictree.com|AHMEDABAD|CTQA|36|08-Mar-2023|publication|0|Asset-LAN3031-1|||||||||||||||||||||||||||||||||||||||
2|BHARAT JOSHI|20203030|2|LAN3031|Snehal Gaikwad: snehal.gaikwad@cubictree.com|AHMEDABAD|CTQA|36|08-Mar-2023|publication23|0|Asset-LAN3031-1|||||||||||||||||||||||||||||||||||||||
